"Id","SKU","DisplayName","Description","ProductType","ProductTypeOrder","StandaloneSku","StandaloneSkupct"
"1","audit","Microsoft Purview Audit","Office 365 Advanced Data Governance intelligently eases data overload by using machine-assisted insights to help you discard  redundant, obsolete, or trivial content.","Compliance","5","AudeDisc","0.25"
"2","aed","Microsoft Purview eDiscovery","Office 365 Advanced eDiscovery reduces the volume of data you must retain by finding near-duplicate files, reconstructing email threads, and identifying key themes and data relationships.","Compliance","5","AudeDisc","0.75"
"5","AADP1","Microsoft Entra ID P1","Azure Active Directory is a comprehensive, highly available identity and access management cloud solution that combines core directory services, advanced identity governance, and application access management.","Identity and Network Access Management","2","aadp1","1.00"
"6","AADP2","Microsoft Entra ID P2","Azure Active Directory is a comprehensive, highly available identity and access management cloud solution that combines core directory services, advanced identity governance, and application access management. Plan 2 adds identity protection and privileged identity management.","Identity and Network Access Management","2","aadp2","1.00"
"7","AIPP1","Microsoft Purview Information Protection","Control and help secure email, documents, and sensitive data that you share outside your company. From easy classification to embedded labels and permissions, enhance data protection at all times with Azure Information Protection—no matter where it’s stored or who it’s shared with.","Compliance","5","IPG","1.00"
"9","DID","Microsoft Defender for Identity","Azure Advanced Threat Protection (ATP) is a cloud-based security solution that identifies, detects, and helps you investigate advanced threats, compromised identities, and malicious insider actions directed at your organization. ","Threat Protection","3","DID","1.00"
"12","CompMgr","Microsoft Purview Compliance Manager","Compliance Manager is a cross-Microsoft-Cloud solution that helps organizations understand and manage the complex compliance landscape with ongoing risk assessment, actionable insights, and simplified compliance.","Compliance","5","","0.50"
"13","CustKey","Microsoft Purview Double Key Encryption","With Customer Key, you control your organization's encryption keys and then configure Office 365 to use them to encrypt your data at rest in Microsoft's data centers.","Compliance","5","","0.50"
"14","lockbox","Microsoft Purview Customer Lockbox","Customer Lockbox for Office 365 can help you meet compliance obligations for explicit data access authorization. In the rare case when a Microsoft service engineer needs access to your data, you are in control and can grant or deny access to it. ","Compliance","5","","0.50"
"18","Intune","Microsoft Intune P1","Define a mobile management strategy that fits the needs of your organization. Apply flexible mobile device and app management controls that let employees work with the devices and apps they choose while protecting your company information.","Unified Endpoint Management/OS","1","intune","1.00"
"19","DCAS","Microsoft Defender for Cloud Apps","Microsoft Defender for Cloud Apps gives your cloud apps deeper visibility, comprehensive data controls, real-time access policies, and enhanced protections from threats.","Threat Protection","3","DCAS","1.00"
"21","DO365","Microsoft Defender for Office 365","Office 365 Advanced Threat Protection (ATP) helps protect against sophisticated threats hidden in email attachments and links, and it provides cutting-edge defenses against zero-day threats, ransomware, and other advanced malware attempts. Rich reporting lets you investigate why ATP flagged a threat, and it gives you details about the users who received malicious emails and malicious links.","Threat Protection","3","DoffP2","1.00"
"22","Apps","Microsoft 365 Apps","Get the latest tools for productivity, collaboration, compliance, and BI—delivered regularly. ","Teamwork","6","proplus","1.00"
"25","PAM","Microsoft Purview Information Barriers","Privileged access management allows granular access control over privileged admin tasks in Office 365. ","Compliance","5","","0.50"
"35","DEnd","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","Threat Protection","3","DefEndP2","1.00"
"43","Dcloud","Microsoft Defender for Cloud","","Cloud Security","4","","0.00"
"45","sentinel","Microsoft Sentinel","","Threat Protection","3","","0.00"
"47","IRM","Microsoft Purview Insider Risk Management","","Compliance","5","IRM","1.00"
"61","DVM","Microsoft Defender for Vulnerability Management","","Threat Protection","3","DCAS","1.00"
"63","EntraPM","Microsoft Entra Permissions Management","","Identity and Network Access Management","2","EntraPM","1.00"
"68","EntraID","Microsoft Entra ID Governance","","Identity and Network Access Management","2","EntraID","1.00"
"71","Copilot","Microsoft 365 Copilot","","Teamwork","6","Copilot","1.00"
"72","EntraIA","Microsoft Entra Internet Access","","Identity and Network Access Management","2","EntraIA","1.00"
"73","EntraPA","Microsoft Entra Private Access","","Identity and Network Access Management","2","EntraPA","1.00"
"74","EntraVID","Microsoft Entra Verified ID","","Identity and Network Access Management","2","EntraVID","1.00"
